Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
181,Cooking Mama,Majesco,Office Create,DS,2006,Simulation,3.09,1.92,0.07,0.58,5.66
182,New Super Mario Bros. U,Nintendo,Nintendo EAD,WiiU,2012,Platform,2.3,1.63,1.32,0.38,5.62
183,Tetris,Nintendo,Nintendo,NES,1989,Puzzle,2.97,0.69,1.81,0.11,5.58
184,Assassin's Creed II,Ubisoft,Ubisoft Montreal,PS3,2009,Action,2.54,1.95,0.21,0.86,5.57
185,Super Smash Bros.,Nintendo,HAL Laboratory,N64,1999,Fighting,2.95,0.6,1.97,0.04,5.55
186,Assassin's Creed,Ubisoft,Ubisoft Montreal,X360,2007,Action,3.28,1.64,0.07,0.56,5.55
187,Batman: Arkham City,Warner Bros. Interactive,Rocksteady Studios,PS3,2011,Action,2.72,1.89,0.11,0.82,5.54
188,Forza Motorsport 3,Microsoft Game Studios,Turn 10 Studios,X360,2009,Racing,2.99,1.9,0.1,0.51,5.5
189,Monster Hunter Freedom Unite,Capcom,Capcom Production Studio 1,PSP,2009,Role-Playing,0.47,0.57,4.13,0.34,5.5
190,Super Mario Advance,Nintendo,Nintendo EAD,GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49
191,Mario Kart: Super Circuit,Nintendo,Intelligent Systems,GBA,2001,Racing,2.62,1.64,0.99,0.23,5.47
192,Super Mario World: Super Mario Advance 2,Nintendo,Nintendo EAD,GBA,2002,Platform,3.21,1.11,0.95,0.2,5.46
193,Pokémon Stadium,Nintendo,HAL Laboratory,N64,2000,Strategy,3.18,1.24,0.94,0.09,5.45
194,Luigi's Mansion: Dark Moon,Nintendo,Next Level Games,3DS,2013,Adventure,2.03,1.88,1.17,0.36,5.44
195,Minecraft,Microsoft Studios,Mojang,XOne,2014,Misc,3.23,1.71,,0.49,5.43
196,Call of Duty: World at War,Activision,Treyarch,PS3,2008,Shooter,2.75,1.84,,0.84,5.43
197,Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Traveller's Tales,PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42
198,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,PS4,2015,Role-Playing,1.48,2.82,0.28,0.81,5.39
199,Final Fantasy XIII,Square Enix,Square Enix,PS3,2010,Role-Playing,1.75,1.23,1.87,0.51,5.35
200,Dr. Mario,Nintendo,Nintendo R&D1,GB,1990,Puzzle,2.18,0.96,2.0,0.2,5.34
201,Assassin's Creed III,Ubisoft,Ubisoft Montreal,X360,2012,Action-Adventure,3.13,1.71,0.03,0.45,5.31
202,Pokémon Pinball,Nintendo,Jupiter Corporation,GBC,1999,Misc,3.02,1.12,1.01,0.16,5.31
203,Assassin's Creed II,Ubisoft,Ubisoft Montreal,X360,2009,Action,3.14,1.55,0.08,0.52,5.3
204,Final Fantasy IX,Square,SquareSoft,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,5.3
205,Final Fantasy X-2,Square Enix,Square Enix,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,5.29
206,Donkey Kong 64,Nintendo,Rare Ltd.,N64,1999,Platform,3.33,0.79,1.09,0.06,5.27
207,Diablo III,Blizzard Entertainment,Blizzard Entertainment,PC,2012,Role-Playing,2.5,2.23,,0.53,5.26
208,Tomb Raider II,Eidos Interactive,Core Design Ltd.,PS,1997,Adventure,2.3,2.46,0.2,0.28,5.24
209,Madden NFL 2004,EA Sports,EA Tiburon,PS2,2003,Sports,4.26,0.26,0.01,0.71,5.23
210,Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,XOne,2014,Shooter,3.25,1.49,0.01,0.48,5.22
211,Dragon Quest VIII: Journey of the Cursed King,Square Enix,Level 5 / Armor Project,PS2,2005,Role-Playing,0.65,0.75,3.61,0.2,5.21
212,Super Mario Advance 4: Super Mario Bros. 3,Nintendo,Nintendo EAD,GBA,2003,Platform,2.93,1.25,0.83,0.2,5.2
213,Professor Layton and the Curious Village,Nintendo,Level 5,DS,2008,Adventure,1.21,2.44,1.03,0.51,5.2
214,Super Mario Land 3: Wario Land,Nintendo,Nintendo R&D1,GB,1994,Platform,2.49,0.98,1.57,0.15,5.19
215,Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,Rare Ltd.,SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15
216,Medal of Honor: Rising Sun,Electronic Arts,EA Los Angeles,PS2,2003,Shooter,1.98,2.23,0.13,0.8,5.13
217,Battlefield 1,Electronic Arts,EA DICE,XOne,2016,Shooter,3.37,1.26,0.02,0.48,5.13
